Zonal	winds																							
Year=2014	Month=04	Day=21																						
Time(column)	-	0hr	to	23hr(UTC)	resolution	1hr																		
Height(row)	-	70km	to	110km	resolution	2km																		
																								
	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	-25.84	NaN	-1.81	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	-12.96	13.57	12.73	NaN	-25.18	-26.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.65	5.74	-21.51	NaN	-21.61	-21.21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	12.26	-21.8	-17.43	NaN	-28.61	-52.79	-33.08	-84.57	-87.78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	-0.29	-22.85	-20.75	NaN	-21.66	-56.22	-62.38	-83.75	-94.11	-86.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	-2.23	-15.76	-31.49	NaN	-31.21	-1.78	-62.55	-43.19	-73.09	-71.45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	-4.49	-2.55	-17.61	NaN	-10.64	-5.41	-30.46	-15.15	-34.13	-39.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.28	3.62	-5.02	NaN	5.33	7.04	-16.69	0.68	-0.85	-16.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	19.4	18.32	2.12	NaN	11.9	23.35	12.74	16.26	19.94	-7.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	25.7	21.2	8.48	NaN	22.12	27.41	31.72	15.93	4.47	14.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	26.39	23.67	10.98	NaN	33.67	18.65	26.94	6.55	-7.14	5.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	38.91	24.02	12.3	NaN	23.28	0.7	12.39	5.83	-43.55	-37.58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	34.08	23.28	16.13	NaN	-1.54	-21.17	2.68	8.76	-50.86	-51.12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	35.73	12.69	9.52	NaN	-23.88	-33.77	-5.42	-9.45	-43.36	-54.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	28.64	15.11	-1.17	NaN	4.61	-24.53	-3.61	-32.78	-23.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	46.65	-8.76	-0.42	NaN	16.28	-5.87	-0.21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	54.24	-9.38	-5.59	NaN	7.54	16.37	-16.83	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	-6.03	NaN	-4.84	NaN	NaN	-12.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	65.5	-14.61	21.96	NaN	NaN	-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	NaN	-24.77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
